"epoch","base_flowers102 - val/f1_macro","base_flowers102 - val/f1_macro__MIN","base_flowers102 - val/f1_macro__MAX","base_flowers102 - _step","base_flowers102 - _step__MIN","base_flowers102 - _step__MAX"
"0","0.01431304682046175","0.01431304682046175","0.01431304682046175","16","16","16"
"1","0.010309828445315361","0.010309828445315361","0.010309828445315361","34","34","34"
"2","0.021616417914628983","0.021616417914628983","0.021616417914628983","52","52","52"
"3","0.026336075738072395","0.026336075738072395","0.026336075738072395","70","70","70"
"4","0.06139632686972618","0.06139632686972618","0.06139632686972618","88","88","88"
"5","0.07308682054281235","0.07308682054281235","0.07308682054281235","106","106","106"
"6","0.08303476125001907","0.08303476125001907","0.08303476125001907","124","124","124"
"7","0.08150632679462433","0.08150632679462433","0.08150632679462433","142","142","142"
"8","0.09599609673023224","0.09599609673023224","0.09599609673023224","160","160","160"
"9","0.12145096063613892","0.12145096063613892","0.12145096063613892","178","178","178"
"10","0.09985990822315216","0.09985990822315216","0.09985990822315216","196","196","196"
"11","0.12410544604063034","0.12410544604063034","0.12410544604063034","214","214","214"
"12","0.12420356273651123","0.12420356273651123","0.12420356273651123","232","232","232"
"13","0.12714314460754395","0.12714314460754395","0.12714314460754395","250","250","250"
"14","0.13947807252407074","0.13947807252407074","0.13947807252407074","268","268","268"
"15","0.17556345462799072","0.17556345462799072","0.17556345462799072","286","286","286"
"16","0.17450103163719177","0.17450103163719177","0.17450103163719177","304","304","304"
"17","0.1960241049528122","0.1960241049528122","0.1960241049528122","322","322","322"
"18","0.18366341292858124","0.18366341292858124","0.18366341292858124","340","340","340"
"19","0.2208632528781891","0.2208632528781891","0.2208632528781891","358","358","358"
"20","0.21429632604122162","0.21429632604122162","0.21429632604122162","376","376","376"
"21","0.21716594696044922","0.21716594696044922","0.21716594696044922","394","394","394"
"22","0.20730192959308624","0.20730192959308624","0.20730192959308624","412","412","412"
"23","0.24281397461891174","0.24281397461891174","0.24281397461891174","430","430","430"
"24","0.25397154688835144","0.25397154688835144","0.25397154688835144","448","448","448"
"25","0.2615317106246948","0.2615317106246948","0.2615317106246948","466","466","466"
"26","0.253906786441803","0.253906786441803","0.253906786441803","484","484","484"
"27","0.29075512290000916","0.29075512290000916","0.29075512290000916","502","502","502"
"28","0.27744054794311523","0.27744054794311523","0.27744054794311523","520","520","520"
"29","0.2807787358760834","0.2807787358760834","0.2807787358760834","538","538","538"
"30","0.2889375686645508","0.2889375686645508","0.2889375686645508","556","556","556"
"31","0.2775850296020508","0.2775850296020508","0.2775850296020508","574","574","574"
"32","0.29458433389663696","0.29458433389663696","0.29458433389663696","592","592","592"
"33","0.28435903787612915","0.28435903787612915","0.28435903787612915","610","610","610"
"34","0.2924712896347046","0.2924712896347046","0.2924712896347046","628","628","628"
"35","0.29696160554885864","0.29696160554885864","0.29696160554885864","646","646","646"
"36","0.2880498170852661","0.2880498170852661","0.2880498170852661","664","664","664"
"37","0.2905317544937134","0.2905317544937134","0.2905317544937134","682","682","682"
"38","0.3159850239753723","0.3159850239753723","0.3159850239753723","700","700","700"
"39","0.3084140121936798","0.3084140121936798","0.3084140121936798","718","718","718"
"40","0.32127082347869873","0.32127082347869873","0.32127082347869873","736","736","736"
"41","0.31037306785583496","0.31037306785583496","0.31037306785583496","754","754","754"
"42","0.3081381618976593","0.3081381618976593","0.3081381618976593","772","772","772"
"43","0.30858314037323","0.30858314037323","0.30858314037323","790","790","790"
"44","0.3218012750148773","0.3218012750148773","0.3218012750148773","808","808","808"
"45","0.31596261262893677","0.31596261262893677","0.31596261262893677","826","826","826"
"46","0.3425985872745514","0.3425985872745514","0.3425985872745514","844","844","844"
"47","0.3303356170654297","0.3303356170654297","0.3303356170654297","862","862","862"
"48","0.32742801308631897","0.32742801308631897","0.32742801308631897","880","880","880"
"49","0.3375033140182495","0.3375033140182495","0.3375033140182495","898","898","898"
"50","0.33858078718185425","0.33858078718185425","0.33858078718185425","916","916","916"
"51","0.35757526755332947","0.35757526755332947","0.35757526755332947","934","934","934"
"52","0.34918320178985596","0.34918320178985596","0.34918320178985596","952","952","952"
"53","0.3394584357738495","0.3394584357738495","0.3394584357738495","970","970","970"
"54","0.33604779839515686","0.33604779839515686","0.33604779839515686","988","988","988"
"55","0.34505972266197205","0.34505972266197205","0.34505972266197205","1006","1006","1006"
"56","0.3437706232070923","0.3437706232070923","0.3437706232070923","1024","1024","1024"
"57","0.35373592376708984","0.35373592376708984","0.35373592376708984","1042","1042","1042"
"58","0.35197943449020386","0.35197943449020386","0.35197943449020386","1060","1060","1060"
"59","0.33978453278541565","0.33978453278541565","0.33978453278541565","1078","1078","1078"
"60","0.35892361402511597","0.35892361402511597","0.35892361402511597","1096","1096","1096"
"61","0.34934163093566895","0.34934163093566895","0.34934163093566895","1114","1114","1114"
"62","0.34475091099739075","0.34475091099739075","0.34475091099739075","1132","1132","1132"
"63","0.3534744083881378","0.3534744083881378","0.3534744083881378","1150","1150","1150"
"64","0.35345932841300964","0.35345932841300964","0.35345932841300964","1168","1168","1168"
"65","0.35925033688545227","0.35925033688545227","0.35925033688545227","1186","1186","1186"
"66","0.3506670594215393","0.3506670594215393","0.3506670594215393","1204","1204","1204"
"67","0.34967249631881714","0.34967249631881714","0.34967249631881714","1222","1222","1222"
"68","0.35004889965057373","0.35004889965057373","0.35004889965057373","1240","1240","1240"
"69","0.3457346558570862","0.3457346558570862","0.3457346558570862","1258","1258","1258"
"70","0.35405999422073364","0.35405999422073364","0.35405999422073364","1276","1276","1276"
"71","0.3721448481082916","0.3721448481082916","0.3721448481082916","1294","1294","1294"
"72","0.3732864260673523","0.3732864260673523","0.3732864260673523","1312","1312","1312"
"73","0.36467698216438293","0.36467698216438293","0.36467698216438293","1330","1330","1330"
"74","0.3693446218967438","0.3693446218967438","0.3693446218967438","1348","1348","1348"
"75","0.361923485994339","0.361923485994339","0.361923485994339","1366","1366","1366"
"76","0.3735063076019287","0.3735063076019287","0.3735063076019287","1384","1384","1384"
"77","0.3691321015357971","0.3691321015357971","0.3691321015357971","1402","1402","1402"
"78","0.36024701595306396","0.36024701595306396","0.36024701595306396","1420","1420","1420"
"79","0.37875401973724365","0.37875401973724365","0.37875401973724365","1438","1438","1438"
"80","0.3639598488807678","0.3639598488807678","0.3639598488807678","1456","1456","1456"
"81","0.36710798740386963","0.36710798740386963","0.36710798740386963","1474","1474","1474"
"82","0.3722865879535675","0.3722865879535675","0.3722865879535675","1492","1492","1492"
"83","0.3761821389198303","0.3761821389198303","0.3761821389198303","1510","1510","1510"
"84","0.3801088035106659","0.3801088035106659","0.3801088035106659","1528","1528","1528"
"85","0.3724813759326935","0.3724813759326935","0.3724813759326935","1546","1546","1546"
"86","0.3689044415950775","0.3689044415950775","0.3689044415950775","1564","1564","1564"
"87","0.37707260251045227","0.37707260251045227","0.37707260251045227","1582","1582","1582"
"88","0.36932140588760376","0.36932140588760376","0.36932140588760376","1600","1600","1600"
"89","0.3715953528881073","0.3715953528881073","0.3715953528881073","1618","1618","1618"
"90","0.3750287592411041","0.3750287592411041","0.3750287592411041","1636","1636","1636"
"91","0.3726499378681183","0.3726499378681183","0.3726499378681183","1654","1654","1654"
"92","0.3816930949687958","0.3816930949687958","0.3816930949687958","1672","1672","1672"
"93","0.37773656845092773","0.37773656845092773","0.37773656845092773","1690","1690","1690"
"94","0.37751680612564087","0.37751680612564087","0.37751680612564087","1708","1708","1708"
"95","0.37031424045562744","0.37031424045562744","0.37031424045562744","1726","1726","1726"
"96","0.3747759163379669","0.3747759163379669","0.3747759163379669","1744","1744","1744"
"97","0.37816208600997925","0.37816208600997925","0.37816208600997925","1762","1762","1762"
"98","0.3794063627719879","0.3794063627719879","0.3794063627719879","1780","1780","1780"
"99","0.3823065757751465","0.3823065757751465","0.3823065757751465","1798","1798","1798"